City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,mbanza-ngungu,-5.25,14.8667,18.92,93,69,0.73,CD,1675648257
282,la reforma,25.0833,-108.05,17.27,78,21,3.31,MX,1675647835
283,kroonstad,-27.6504,27.2349,17.03,70,1,2.81,ZA,1675648258
284,aklavik,68.2191,-135.0107,-40.65,100,28,0.22,CA,1675648258
285,massaguet,12.4755,15.4365,23.88,17,98,4.39,TD,1675648258
286,san patricio,28.017,-97.5169,19.97,87,0,4.28,US,1675648259
287,leningradskiy,69.3833,178.4167,-29.4,98,100,2.18,RU,1675648259
288,vitim,59.4511,112.5578,-26.85,99,99,0.62,RU,1675648259
289,maumere,-8.6199,122.2111,26.37,86,100,6.51,ID,1675648260
290,adrar,20.5022,-10.0711,13.75,30,100,4.49,MR,1675648260
291,sao joao da barra,-21.6403,-41.0511,24.2,94,13,0.59,BR,1675648260
292,vista hermosa,19.5167,-99.2167,18.08,22,0,7.2,MX,1675648260
293,havelock,34.8791,-76.9013,15.97,89,100,5.66,US,1675648261
294,karasburg,-28.0167,18.75,22.02,42,95,1.68,NA,1675648261
295,lokosovo,61.1333,74.8167,-20.77,100,100,1.33,RU,1675648261
296,otane,-39.8833,176.6333,25.58,52,54,3.52,NZ,1675648262
297,tsaratanana,-16.7833,47.65,22.01,93,100,1.81,MG,1675648262
298,bandarbeyla,9.4942,50.8122,23.52,75,63,6.08,SO,1675648262
299,batticaloa,7.7102,81.6924,25.16,84,100,4.09,LK,1675648263
300,hamilton,39.1834,-84.5333,8.89,67,40,3.09,US,1675648087
301,baijiantan,45.6333,85.1833,-11.57,93,100,0.43,CN,1675648263
302,pucara,-15.9803,-71.4606,0.07,98,100,1.59,PE,1675648263
303,valdivia,-39.8142,-73.2459,20.05,83,0,0.8,CL,1675648169
304,kabo,7.6994,18.629,23.36,17,60,1.57,CF,1675648264
305,bucerias,20.75,-105.3333,23.99,83,0,2.06,MX,1675648060
306,nanortalik,60.1432,-45.2371,-7.47,76,100,12.88,GL,1675648264
307,gravdal,68.1214,13.5031,4.14,96,100,11.84,NO,1675648265
308,mackenzie,55.2999,-123.1698,2.12,55,40,1.54,CA,1675648265
309,chokurdakh,70.6333,147.9167,-40.89,100,86,0.67,RU,1675648265
310,oudtshoorn,-33.5907,22.2014,20.2,85,52,1.58,ZA,1675648266
311,mananjary,-21.2167,48.3333,22.52,95,99,2.75,MG,1675648266
312,petropavlovka,50.6114,105.3196,-18.05,94,54,1.31,RU,1675648266
313,taoudenni,22.6783,-3.9836,14.96,28,99,4.07,ML,1675648267
314,praxedis guerrero,31.3667,-106.0167,21.7,19,0,0.84,MX,1675648267
